"Date","Price","Open","High","Low","Vol.","Change %"
"25-06-2025","82,755.51","82,448.80","82,815.91","82,339.57","7.52M","0.85%"
"24-06-2025","82,055.11","82,534.61","83,018.16","81,900.12","119.31M","0.19%"
"23-06-2025","81,896.79","81,704.07","82,169.67","81,476.76","7.98M","-0.62%"
"20-06-2025","82,408.17","81,354.85","82,494.49","81,323.20","6.67M","1.29%"
"19-06-2025","81,361.87","81,403.94","81,583.94","81,191.04","12.46M","-0.10%"
"18-06-2025","81,444.66","81,314.62","81,858.97","81,237.01","11.35M","-0.17%"
"17-06-2025","81,583.30","81,869.47","81,890.15","81,427.01","21.49M","-0.26%"
"16-06-2025","81,796.15","81,034.45","81,865.82","81,012.31","11.42M","0.84%"
"13-06-2025","81,118.60","80,427.81","81,238.68","80,354.59","6.64M","-0.70%"
"12-06-2025","81,691.98","82,571.67","82,661.04","81,523.16","5.95M","-1.00%"
"11-06-2025","82,515.14","82,473.02","82,783.51","82,308.91","11.30M","0.15%"
"10-06-2025","82,391.72","82,643.73","82,680.79","82,240.40","15.06M","-0.06%"
"09-06-2025","82,445.21","82,574.55","82,669.00","82,369.24","11.48M","0.31%"
"06-06-2025","82,188.99","81,434.24","82,299.89","81,140.11","12.37M","0.92%"
"05-06-2025","81,442.04","81,196.08","81,911.13","80,983.73","9.75M","0.55%"
"04-06-2025","80,998.25","80,777.65","81,087.29","80,705.18","7.48M","0.32%"
"03-06-2025","80,737.51","81,492.50","81,774.23","80,575.09","31.98M","-0.78%"
"02-06-2025","81,373.75","81,214.42","81,474.26","80,654.26","9.91M","-0.09%"
"30-05-2025","81,451.01","81,465.69","81,698.21","81,286.45","12.57M","-0.22%"
"29-05-2025","81,633.02","81,591.03","81,816.89","81,106.98","6.78M","0.39%"
"28-05-2025","81,312.32","81,457.61","81,613.36","81,244.02","24.10M","-0.29%"
"27-05-2025","81,551.63","82,038.20","82,410.52","81,121.70","20.69M","-0.76%"
"26-05-2025","82,176.45","81,928.95","82,492.24","81,867.23","10.19M","0.56%"
"23-05-2025","81,721.08","80,897.00","81,905.17","80,897.00","11.96M","0.95%"
"22-05-2025","80,951.99","81,323.05","81,323.24","80,489.92","10.69M","-0.79%"
"21-05-2025","81,596.63","81,327.61","82,021.64","81,237.06","5.75M","0.51%"
"20-05-2025","81,186.44","82,116.17","82,250.42","81,153.70","10.54M","-1.06%"
"19-05-2025","82,059.42","82,354.92","82,424.10","81,964.57","8.08M","-0.33%"
"16-05-2025","82,330.59","82,392.63","82,514.81","82,146.95","15.35M","-0.24%"
"15-05-2025","82,530.74","81,354.43","82,718.14","80,762.16","12.59M","1.48%"
"14-05-2025","81,330.56","81,278.49","81,691.87","80,910.03","15.24M","0.22%"
"13-05-2025","81,148.22","82,249.60","82,572.81","81,043.69","16.20M","-1.55%"
"12-05-2025","82,429.90","80,803.80","82,495.97","80,651.07","10.65M","3.74%"
"09-05-2025","79,454.47","78,968.34","80,032.93","78,968.34","8.75M","-1.10%"
"08-05-2025","80,334.81","80,912.34","80,927.99","79,987.61","10.57M","-0.51%"
"07-05-2025","80,746.78","79,948.80","80,844.63","79,937.48","8.75M","0.13%"
"06-05-2025","80,641.07","80,907.24","80,981.58","80,481.03","12.48M","-0.19%"
"05-05-2025","80,796.84","80,661.62","81,049.03","80,657.71","8.79M","0.37%"
